Site,Plot,Tree #,Species,Species Ac,DBH (in),DBH Class (1 inch bin),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status,Age,BA/tree (sq. ft),BA/acre,TPA
Great River Harbor,1,9,ASH,,8.7,,22,7,22.58333333,26,54.7,15,I,L,36,0.41281326,4.1281326,10
Great River Harbor,1,10,SM,,10,,33,5,33.41666667,35,58.9,20,C,L,45,0.5454,5.454,10
Great River Harbor,1,11,ASH,,8.7,,27,6,27.5,76,49.9,50,S,L,40,0.41281326,4.1281326,10
Great River Harbor,1,12,AE,,18.6,,22,2,22.16666667,108,60.6,40,D,L,66,1.88686584,18.8686584,10
Great River Harbor,1,13,ASH,,8,,19,0,19,132,51.5,30,S,L,41,0.349056,3.49056,10
Great River Harbor,1,14,ASH,,7.1,,21,2,21.16666667,146,32.9,5,S,D,32,0.27493614,2.7493614,10
Great River Harbor,2,1,ASH,,16.7,,34,8,34.66666667,12,85.3,25,D,L,70,1.52106606,15.2106606,10
Great River Harbor,2,2,CW,,41.4,,5,0,5,119,114.8,20,D,L,71,9.34793784,93.4793784,10
Great River Harbor,2,3,CW,,30.8,,21,2,21.16666667,119,91.8,20,D,L,62,5.17388256,51.7388256,10
Great River Harbor,2,4,BE,,6.5,,18,0,18,148,40.7,90,S,L,41,0.2304315,2.304315,10
Great River Harbor,2,5,ASH,,6.1,,29,7,29.58333333,184,41.5,70,S,L,44,0.20294334,2.0294334,10
Great River Harbor,2,6,SM,,21,,35,9,35.75,192,67.8,30,C,L,73,2.405214,24.05214,10
Great River Harbor,2,7,SM,,10,,31,0,31,219,66.2,80,I,L,48,0.5454,5.454,10
Great River Harbor,2,8,BE,,7.2,,23,6,23.5,236,40.3,15,S,D,NA,0.28273536,2.8273536,10
Great River Harbor,2,9,SM,,15.6,,26,6,26.5,280,63.4,30,C,L,73,1.32728544,13.2728544,10
Great River Harbor,2,10,SM,,19.3,,19,3,19.25,324,61.3,30,C,L,70,2.03156046,20.3156046,10
Great River Harbor,2,11,SM,,6,,7,11,7.916666667,330,34.7,10,S,D,58,0.196344,1.96344,10
Great River Harbor,2,12,SM,,18.2,,10,11,10.91666667,344,71.3,50,I,L,74,1.80658296,18.0658296,10
Great River Harbor,3,1,SM,,9.1,,5,4,5.333333333,342,62,80,I,L,76,0.45164574,4.5164574,10
Great River Harbor,3,2,SM,,8.8,,8,3,8.25,6,50.9,80,I,L,80,0.42235776,4.2235776,10
Great River Harbor,3,3,SM,,10.4,,28,5,28.41666667,39,53.3,30,C,L,68,0.58990464,5.8990464,10
Great River Harbor,3,4,SM,,11.6,,3,8,3.666666667,70,57.8,70,I,L,72,0.73389024,7.3389024,10
Great River Harbor,3,5,SM,,15.5,,12,3,12.25,140,61.3,40,C,L,79,1.3103235,13.103235,10
Great River Harbor,3,6,SM,,13.6,,15,11,15.91666667,161,55.7,30,C,L,81,1.00877184,10.0877184,10
Great River Harbor,3,7,ASH,,7.2,,31,6,31.5,159,58.4,50,C,L,79,0.28273536,2.8273536,10
Great River Harbor,3,8,SM,,16.3,,23,2,23.16666667,66,45.8,50,I,L,72,1.44907326,14.4907326,10
Great River Harbor,3,9,SM,,7.2,,23,2,23.16666667,66,45.8,50,I,L,65,0.28273536,2.8273536,10
Great River Harbor,3,10,SM,,9.9,,7,0,7,196,48.4,60,S,L,79,0.53454654,5.3454654,10
